1          TEST OF QUAD ON KAHANER 21

          ATTEMPED ACCURACY   1.000E-03



            N      TRUE           CALC         ERROR       EST ERR    JCALL     KWARN


            1   1.7182818651   1.7182825804  -7.153E-07   6.539E-06    13         0
            2    .6999999881    .6999986172   1.371E-06   3.398E-06    65         0
            3    .6666666865    .6657652855   9.014E-04   6.485E-04    17         0
            4    .4794282317    .4794318080  -3.576E-06   3.168E-05    13         0
            5   1.5822329521   1.5822820663  -4.911E-05   3.226E-04    17         0
            6    .4000000060    .4000185728  -1.857E-05   2.903E-05    15         0
            7   2.0000000000   1.9998348951   1.651E-04   4.576E-04    26         0
            8    .8669729829    .8669791222  -6.139E-06   5.987E-05    15         0
            9   1.1547006369   1.1546144485   8.619E-05   5.292E-04    95         0
           10    .6931471825    .6931497455  -2.563E-06   2.003E-05    13         0
           11    .3798854947    .3798854351   5.960E-08   3.318E-07    13         0
           12    .7775046229    .7775045633   5.960E-08   5.811E-08    13         0
           13    .0090986453    .0091409767  -4.233E-05   4.377E-04   381         0
           14    .5000002384    .4998455942   1.546E-04   4.740E-04    52         0
           15   1.0000000000   1.0000681877  -6.819E-05   4.863E-04    52         0
           16    .4993638098    .4994501173  -8.631E-05   4.635E-04    48         0
           17    .1121395677    .1120740548   6.551E-05   6.504E-04   185         0
           18    .8386763334    .8386821747  -5.841E-06   5.778E-04    57         0
           19  -1.0000000000  -1.0000329018   3.290E-05   2.165E-04    28         0
           20   1.5643965006   1.5643962622   2.384E-07   1.148E-04    19         0
           21    .2108027339    .2097787708   1.024E-03   3.021E-04    49         0
           22    .2108027339    .2108431906  -4.046E-05   3.061E-04    99         0
1          TEST OF QUAD ON KAHANER 21

          ATTEMPED ACCURACY   1.000E-06



            N      TRUE           CALC         ERROR       EST ERR    JCALL     KWARN


            1   1.7182818651   1.7182823420  -4.768E-07   3.834E-06    15         1
            2    .6999999881    .6999986172   1.371E-06   3.398E-06    65         1
            3    .6666666865    .6666666269   5.960E-08   4.611E-07    28         0
            4    .4794282317    .4794282615  -2.980E-08   3.414E-07    19         0
            5   1.5822329521   1.5822329521    .000E+00   6.524E-07    33         0
            6    .4000000060    .4000005424  -5.364E-07   9.184E-07    29         0
            7   2.0000000000   1.9999990463   9.537E-07   3.504E-06    42         1
            8    .8669729829    .8669730425  -5.960E-08   7.845E-07    19         0
            9   1.1547006369   1.1546949148   5.722E-06   9.882E-06   155         1
           10    .6931471825    .6931473017  -1.192E-07   1.920E-07    19         0
           11    .3798854947    .3798854351   5.960E-08   3.318E-07    13         0
           12    .7775046229    .7775045633   5.960E-08   5.811E-08    13         0
           13    .0090986453    .0090984497   1.956E-07   9.980E-07  1887         0
           14    .5000002384    .5000030994  -2.861E-06   1.030E-04    64         1
           15   1.0000000000   1.0000016689  -1.669E-06   6.545E-06    74         1
           16    .4993638098    .4993709624  -7.153E-06   2.193E-05    78         1
           17    .1121395677    .1121395677    .000E+00   6.896E-07   521         0
           18    .8386763334    .8386748433   1.490E-06   2.785E-06    97         1
           19  -1.0000000000  -1.0000002384   2.384E-07   1.155E-06    38         1
           20   1.5643965006   1.5643962622   2.384E-07   9.696E-07    29         0
           21    .2108027339    .2097361684   1.067E-03   3.754E-07   127         0
           22    .2108027339    .2108028233  -8.941E-08   3.699E-07   267         0
0    TEST OF QUAD ON F(X)=(2**A)/(1.+(X*(2**A))**2)
0          LIMITS -1.00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN
            .1200      1.6177   -1.19E-07    3.88E-07      57       0
            .1400      1.6721     .00E+00    2.82E-07      57       0
            .1600      1.7102    1.19E-07    2.91E-07      61       0
            .1800      1.7355     .00E+00    7.89E-07      57       0
            .2000      1.7515   -1.19E-07    3.61E-07      53       0
            .2200      1.7611   -2.38E-07    4.63E-07      53       0
            .2400      1.7666   -2.38E-07    9.30E-07      53       0
            .2600      1.7696   -5.96E-07    5.37E-06      67       1
            .2800      1.7711     .00E+00    7.95E-07      63       0
            .3000      1.7718    9.54E-07    9.83E-07      63       0
            .3200      1.7722    8.34E-07    6.11E-07      59       0
            .3400      1.7723   -4.77E-07    3.66E-07      75       0
            .3600      1.7724     .00E+00    1.82E-07      71       0
            .3800      1.7724    1.91E-06    4.20E-06      61       1
            .4000      1.7724    3.58E-07    2.26E-06      77       1
            .4200      1.7725    1.19E-07    5.54E-07      77       0
            .4400      1.7725   -2.15E-06    5.05E-07      61       0
            .4600      1.7725    2.38E-07    3.18E-07      65       0
            .4800      1.7725    6.08E-06    3.87E-06      61       1
            .5000      1.7725   -5.96E-07    4.26E-06      77       1
0    TEST OF QUAD ON F(X)=B*EXP(-B**2*(X-A)**2)
                 B  16.00
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0200      1.1956    2.38E-07    4.00E-07      51       0
            .0400      1.4486   -1.19E-07    5.14E-07      53       0
            .0600      1.6177   -1.19E-07    3.90E-07      61       0
            .0800      1.7102    1.19E-07    3.53E-07      65       0
            .1000      1.7515   -1.19E-07    3.61E-07      69       0
            .1200      1.7666   -2.38E-07    9.30E-07      69       0
            .1400      1.7711     .00E+00    7.95E-07      79       0
            .1600      1.7722    8.34E-07    6.11E-07      75       0
            .1800      1.7724     .00E+00    1.82E-07      87       0
            .2000      1.7724    3.58E-07    2.26E-06      93       1
            .2200      1.7725   -2.15E-06    4.19E-07      77       0
            .2400      1.7725    6.08E-06    3.87E-06      77       1
            .2600      1.7725   -2.38E-07    4.97E-06      89       1
            .2800      1.7725    1.07E-06    2.68E-06      73       1
            .3000      1.7725    2.38E-07    4.20E-06      87       1
            .3200      1.7725     .00E+00    5.68E-07      91       0
            .3400      1.7725   -5.96E-07    2.85E-06      85       1
            .3600      1.7725   -2.38E-07    8.27E-06      83       1
            .3800      1.7725   -2.62E-06    3.32E-06      93       1
            .4000      1.7725   -3.58E-07    1.34E-06      89       1
            .4200      1.7725   -8.34E-07    3.74E-06      89       1
            .4400      1.7725    1.55E-06    8.93E-06      84       1
            .4600      1.7725   -7.27E-06    7.47E-06      83       1
            .4800      1.7725    2.38E-07    3.53E-06      87       1
            .5000      1.7725   -1.19E-07    6.07E-06     105       1
0    TEST OF QUAD ON F(X)=B*EXP(-B**2*(X-A)**2)
                 B  32.00
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0200      1.4486   -1.19E-07    5.14E-07      57       0
            .0400      1.7102    1.19E-07    3.53E-07      69       0
            .0600      1.7666   -2.38E-07    9.30E-07      73       0
            .0800      1.7722    8.34E-07    6.11E-07      79       0
            .1000      1.7724    3.58E-07    2.26E-06      97       1
            .1200      1.7725    6.08E-06    3.87E-06      81       1
            .1400      1.7725    1.07E-06    2.68E-06      77       1
            .1600      1.7725     .00E+00    5.68E-07      95       0
            .1800      1.7725   -2.38E-07    8.27E-06      87       1
            .2000      1.7725   -3.58E-07    1.35E-06      93       1
            .2200      1.7725    1.55E-06    8.93E-06      97       1
            .2400      1.7725    2.38E-07    3.53E-06     103       1
            .2600      1.7725   -3.58E-06    1.18E-05     117       1
            .2800      1.7725   -1.19E-07    2.43E-06     101       1
            .3000      1.7725    2.38E-07    8.82E-07      89       0
            .3200      1.7725   -8.34E-07    1.67E-06      95       1
            .3400      1.7725   -9.54E-07    4.91E-06     111       1
            .3600      1.7725   -3.70E-06    1.60E-06      97       1
            .3800      1.7725     .00E+00    5.59E-06     103       1
            .4000      1.7725   -2.38E-07    5.50E-06     111       1
            .4200      1.7725   -2.38E-07    2.90E-06     117       1
            .4400      1.7725   -1.42E-05    9.91E-06     109       1
            .4600      1.7725   -5.96E-07    3.79E-06     101       1
            .4800      1.7725   -7.51E-06    7.80E-06     115       1
            .5000      1.7725   -3.58E-07    6.82E-06     125       1
0    TEST OF QUAD ON F(X)=B*EXP(-B**2*(X-A)**2)
                 B  64.00
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0200      1.7102    1.19E-07    3.53E-07      73       0
            .0400      1.7722    8.34E-07    6.11E-07      83       0
            .0600      1.7725    6.08E-06    3.87E-06      85       1
            .0800      1.7725     .00E+00    5.68E-07      99       0
            .1000      1.7725   -3.58E-07    1.35E-06      97       1
            .1200      1.7725    2.38E-07    3.53E-06     107       1
            .1400      1.7725   -1.19E-07    2.43E-06     105       1
            .1600      1.7725   -8.34E-07    1.67E-06      99       1
            .1800      1.7725   -3.70E-06    1.60E-06     101       1
            .2000      1.7725   -2.38E-07    5.50E-06     115       1
            .2200      1.7725   -1.42E-05    9.91E-06     113       1
            .2400      1.7725   -7.51E-06    7.80E-06     119       1
            .2600      1.7725   -4.05E-06    4.74E-06      97       1
            .2800      1.7725    3.58E-07    4.00E-06     139       1
            .3000      1.7725   -8.11E-06    7.34E-06     127       1
            .3200      1.7725    2.38E-06    2.55E-06     139       1
            .3400      1.7725   -1.31E-06    8.11E-06     131       1
            .3600      1.7725    1.31E-06    8.97E-06     145       1
            .3800      1.7725   -3.81E-06    1.11E-05     117       1
            .4000      1.7725   -4.77E-07    1.00E-06     121       1
            .4200      1.7725    8.34E-07    6.73E-06     107       1
            .4400      1.7725   -2.38E-07    5.92E-06     155       1
            .4600      1.7725   -4.77E-07    3.60E-06     149       1
            .4800      1.7725    3.58E-07    4.66E-06     133       1
            .5000      1.7725    7.15E-07    6.44E-06     165       1
0    TEST OF QUAD ON F(X)=B*EXP(-B**2*(X-A)**2)
                 B 128.00
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0200      1.7722   -6.04E-04    1.65E-02      64       1
            .0400      1.7725    1.77E+00    3.97E-12      15       0
            .0600      1.7725    2.38E-07    3.53E-06     111       1
            .0800      1.7725   -8.34E-07    1.67E-06     103       1
            .1000      1.7725   -2.38E-07    5.50E-06     119       1
            .1200      1.7725   -7.51E-06    7.80E-06     123       1
            .1400      1.7725    3.58E-07    4.00E-06     143       1
            .1600      1.7725    2.38E-06    2.55E-06     143       1
            .1800      1.7725    1.31E-06    8.97E-06     149       1
            .2000      1.7725   -4.77E-07    1.00E-06     125       1
            .2200      1.7725   -2.38E-07    5.92E-06     159       1
            .2400      1.7725    3.58E-07    4.66E-06     137       1
            .2600      1.7725   -3.58E-07    2.35E-06     117       1
            .2800      1.7725    4.29E-06    5.34E-06     139       1
            .3000      1.7725   -5.96E-07    4.14E-06     159       1
            .3200      1.7725   -1.67E-06    3.85E-06     169       1
            .3400      1.7725   -2.98E-06    3.25E-06     137       1
            .3600      1.7725   -1.31E-05    7.75E-06     179       1
            .3800      1.7725   -5.48E-06    8.08E-06     141       1
            .4000      1.7725   -9.78E-06    8.93E-06     143       1
            .4200      1.7725   -3.46E-06    1.63E-05     145       1
            .4400      1.7725   -2.98E-06    1.46E-05     147       1
            .4600      1.7725   -1.67E-06    7.41E-06     167       1
            .4800      1.7725    9.54E-07    3.19E-06     125       1
            .5000      1.7725    1.07E-06    5.44E-06     161       1
0    TEST OF QUAD ON F(X)=B*EXP(-B**2*(X-A)**2)
                 B 256.00
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0200      1.7725    1.77E+00    5.86E-11      17       0
            .0400      1.7725    1.77E+00    1.40E-45      13       0
            .0600      1.7725    1.77E+00     .00E+00      13       0
            .0800      1.7725    2.38E-06    2.55E-06     147       1
            .1000      1.7725   -4.77E-07    1.00E-06     129       1
            .1200      1.7725    3.58E-07    4.66E-06     141       1
            .1400      1.7725    1.77E+00    3.28E-19      17       0
            .1600      1.7725   -1.67E-06    3.85E-06     173       1
            .1800      1.7725   -1.31E-05    7.75E-06     183       1
            .2000      1.7725    1.77E+00    7.51E-13      17       0
            .2200      1.7725   -2.98E-06    1.46E-05     151       1
            .2400      1.7725    9.54E-07    3.19E-06     129       1
            .2600      1.7725    1.77E+00    6.83E-40      13       0
            .2800      1.7725    1.77E+00     .00E+00      13       0
            .3000      1.7725    1.77E+00    2.50E-13      21       0
            .3200      1.7725   -2.50E-06    7.48E-06     235       1
            .3400      1.7725   -2.62E-06    1.18E-05     221       1
            .3600      1.7725    1.77E+00    1.64E-19      21       0
            .3800      1.7725    1.77E+00     .00E+00      13       0
            .4000      1.7725    1.77E+00     .00E+00      13       0
            .4200      1.7725   -1.07E-06    1.21E-05     209       1
            .4400      1.7725   -7.39E-06    7.28E-06     201       1
            .4600      1.7725   -8.34E-07    9.99E-06     229       1
            .4800      1.7725    1.77E+00    2.35E-10      17       0
            .5000      1.7725    7.15E-07    8.26E-06     301       1
0    TEST OF QUAD ON F(X)=(2**A)*EXP(-(2**A)*X)
0            LIMITS   .00  1.00   A    3.0000E+00

            EPS        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


         1.00E+00       .9997   -4.74E-04    1.36E-03      19       0
         1.00E-01       .9997   -4.74E-04    1.36E-03      19       0
         1.00E-02       .9997   -4.74E-04    1.36E-03      19       0
         1.00E-03       .9997   -3.47E-05    1.10E-04      21       0
         1.00E-04       .9997   -4.23E-06    2.22E-05      23       0
         1.00E-05       .9997   -1.79E-07    2.99E-07      29       0
         1.00E-06       .9997   -1.79E-07    2.99E-07      29       0
         1.00E-07       .9997     .00E+00    9.74E-08      37       0
         1.00E-08       .9997     .00E+00    9.74E-08      37       1
         1.00E-09       .9997     .00E+00    9.61E-08      41       1
         1.00E-10       .9997     .00E+00    9.61E-08      41       1
0    TEST OF QUAD ON F(X)=X**A
0            LIMITS   .00  1.00   A    5.0000E-01

            EPS        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


         1.00E+00       .6667    1.53E-03    1.03E-03      15       0
         1.00E-01       .6667    1.53E-03    1.03E-03      15       0
         1.00E-02       .6667    1.53E-03    1.03E-03      15       0
         1.00E-03       .6667    9.01E-04    6.48E-04      17       0
         1.00E-04       .6667    3.22E-06    2.18E-05      22       0
         1.00E-05       .6667    3.58E-07    2.75E-06      26       0
         1.00E-06       .6667    5.96E-08    4.61E-07      28       0
         1.00E-07       .6667    5.96E-08    4.61E-07      28       1
         1.00E-08       .6667    5.96E-08    4.81E-07      54       1
         1.00E-09       .6667    5.96E-08    5.33E-07      70       1
         1.00E-10       .6667    5.96E-08    5.33E-07      70       1
0    TEST OF QUAD ON F(X))=1.+COS(A*PI*X)
0            LIMITS   .00  1.00   A    1.9500E+00

            EPS        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


         1.00E+00       .9745    4.23E-06    2.78E-04      19       0
         1.00E-01       .9745    4.23E-06    2.78E-04      19       0
         1.00E-02       .9745    4.23E-06    2.78E-04      19       0
         1.00E-03       .9745    4.23E-06    2.78E-04      19       0
         1.00E-04       .9745   -2.48E-05    7.68E-05      23       0
         1.00E-05       .9745    5.96E-08    6.12E-07      25       0
         1.00E-06       .9745    5.96E-08    6.12E-07      25       0
         1.00E-07       .9745   -1.19E-07    7.88E-07      49       1
         1.00E-08       .9745   -1.19E-07    8.00E-07      97       1
         1.00E-09       .9745   -1.19E-07    8.00E-07      97       1
         1.00E-10       .9745   -1.19E-07    8.00E-07      97       1
0    TEST OF QUAD ON F(X))=1.+COS(A*PI*X)
0            LIMITS   .00  1.00   A    1.7950E+01

            EPS        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


         1.00E+00       .9972   -8.79E-04    6.68E-01      41       0
         1.00E-01       .9972    6.41E-05    1.51E-03      49       0
         1.00E-02       .9972    6.41E-05    1.51E-03      49       0
         1.00E-03       .9972    2.40E-05    7.30E-04      81       0
         1.00E-04       .9972   -1.11E-05    4.40E-05     129       0
         1.00E-05       .9972   -3.58E-07    1.35E-06     149       0
         1.00E-06       .9972   -3.58E-07    1.35E-06     149       1
         1.00E-07       .9972   -2.38E-07    1.47E-06     181       1
         1.00E-08       .9972   -2.38E-07    1.47E-06     217       1
         1.00E-09       .9972   -2.38E-07    1.47E-06     217       1
         1.00E-10       .9972   -2.38E-07    1.47E-06     217       1
0   1 9.99664545E-01   9.739E-08         1        37
    1    1
0NOISE LEVEL 10**(  1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.421E+00    1.291E+01         1        77
    -2.110E+00    8.384E+00         1        57
    -7.522E-02    7.559E+00         1        63
     1.029E+00    7.532E+00         1        79
    -6.000E-01    5.084E+00         1       121
0NOISE LEVEL 10**(  0)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.016E-01    6.491E-01         1        89
    -1.104E-01    6.400E-01         1        63
     1.009E-01    1.205E+00         1        71
    -6.653E-02    1.105E+00         1        73
     5.011E-03    9.520E-01         1        89
0NOISE LEVEL 10**( -1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.104E-03    6.928E-02         1        81
    -1.389E-02    7.694E-02         1        81
    -8.601E-03    4.870E-02         1        71
    -6.073E-03    5.332E-02         1        79
    -7.087E-03    6.119E-02         1       129
0NOISE LEVEL 10**( -2)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -2.153E-03    8.162E-03         1        73
    -5.084E-04    9.545E-03         1       101
     9.695E-04    1.050E-02         1        71
    -6.733E-04    6.900E-03         1        79
    -4.053E-06    8.289E-03         1       115
0NOISE LEVEL 10**( -3)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -2.480E-04    6.793E-04         1        81
    -2.824E-04    5.979E-04         1        55
    -4.517E-04    6.876E-04         1        85
     1.788E-07    5.353E-04         1       117
    -4.797E-04    7.252E-04         1        69
0NOISE LEVEL 10**( -4)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     3.755E-06    7.424E-05         1        95
    -5.448E-05    7.509E-05         1       105
     5.603E-06    1.976E-05         1       103
     9.477E-06    6.982E-05         1        65
    -4.745E-05    3.628E-05         1        73
0NOISE LEVEL 10**( -5)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.490E-06    6.937E-06         1        35
    -3.219E-06    7.859E-06         1        93
    -1.252E-06    1.988E-06         1        49
    -3.695E-06    6.005E-06         1        41
    -8.166E-06    7.031E-06         1        37
0NOISE LEVEL 10**( -6)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -7.153E-07    1.936E-06         1        35
    -2.563E-06    2.161E-06         1        25
    -1.788E-06    1.749E-06         1        27
    -1.132E-06    4.351E-06         1        25
    -3.278E-06    4.315E-06         1        33
0NOISE LEVEL 10**( -7)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -7.153E-07    1.735E-06         1        29
    -1.788E-07    1.295E-06         1        29
    -7.153E-07    7.505E-07         0        29
    -1.788E-07    1.334E-06         1        29
    -1.788E-07    1.323E-06         1        29
    1    2
0NOISE LEVEL 10**(  1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.824E-02    5.848E+00         1       183
    -5.729E-01    6.982E+00         1       227
    -5.545E-01    8.414E+00         1       215
     8.900E-01    7.386E+00         1       173
     8.274E-01    3.918E+00         1       177
0NOISE LEVEL 10**(  0)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -3.945E-01    3.679E-01         1       189
     1.076E-01    6.079E-01         1       183
    -4.518E-02    3.020E-01         1       119
    -8.118E-02    5.957E-01         1       207
    -3.388E-02    9.460E-01         1       223
0NOISE LEVEL 10**( -1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.550E-02    8.321E-02         1       223
    -1.263E-02    4.739E-02         1       169
    -7.639E-03    7.352E-02         1       167
    -1.126E-02    6.444E-02         1       151
     1.774E-03    8.210E-02         1       181
0NOISE LEVEL 10**( -2)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.453E-04    1.419E-03         1       117
    -7.300E-04    6.958E-03         1       175
     1.432E-03    6.412E-03         1       167
    -9.508E-04    8.951E-03         1       155
    -2.364E-03    1.920E-03         1       169
0NOISE LEVEL 10**( -3)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -3.028E-05    8.217E-05         1       105
    -2.153E-04    2.156E-04         1        91
     1.292E-04    4.441E-04         1        97
    -1.277E-04    5.723E-04         1       153
    -1.540E-04    1.213E-04         1        93
0NOISE LEVEL 10**( -4)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -3.183E-05    1.835E-05         1       125
    -4.405E-05    1.722E-05         1       101
    -1.496E-05    2.739E-05         1       121
    -9.120E-06    1.795E-05         1       103
    -1.192E-05    2.098E-05         1       107
0NOISE LEVEL 10**( -5)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.132E-06    6.230E-06         1        41
    -9.239E-06    7.086E-06         1        33
    -6.080E-06    3.751E-06         1        25
     1.550E-06    1.234E-06         1        25
    -3.517E-06    8.544E-06         1        33
0NOISE LEVEL 10**( -6)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.907E-06    1.036E-06         1        25
     2.980E-07    2.902E-06         1        29
    -5.960E-07    1.738E-06         1        29
    -1.431E-06    1.923E-06         1        25
    -6.914E-06    7.464E-06         1        33
0NOISE LEVEL 10**( -7)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -4.768E-07    1.663E-06         1        29
    -5.960E-08    2.929E-07         0        29
    -2.980E-07    3.707E-07         0        29
    -2.384E-07    3.997E-07         0        29
    -1.192E-07    2.392E-07         0        29
0   2 6.66666627E-01   4.611E-07         1        28
    2    1
0NOISE LEVEL 10**(  1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -6.965E-01    8.421E+00         1       153
    -1.176E-01    4.188E+00         1        61
    -6.480E-01    1.194E+01         1        73
    -5.980E-01    6.344E+00         1        89
    -9.762E-01    1.118E+01         1        91
0NOISE LEVEL 10**(  0)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -4.361E-04    1.155E+00         1        57
    -5.382E-02    7.444E-01         1       103
     1.200E-01    7.404E-01         1        97
     8.936E-02    4.925E-01         1        79
     6.638E-03    4.316E-01         1        89
0NOISE LEVEL 10**( -1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.453E-03    9.103E-02         1        81
    -3.507E-03    1.154E-01         1        73
     7.336E-03    9.506E-02         1       119
    -2.063E-02    9.338E-02         1        71
     1.102E-02    4.574E-02         1        73
0NOISE LEVEL 10**( -2)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.097E-03    4.924E-03         1        73
     4.684E-04    6.653E-03         1        73
     8.209E-04    3.984E-03         1        95
     3.753E-03    4.289E-03         1        77
    -2.079E-03    9.602E-03         1       133
0NOISE LEVEL 10**( -3)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.705E-04    8.603E-04         1       145
     7.987E-04    3.367E-04         1        47
     1.907E-03    1.241E-03         1        77
     7.414E-04    1.249E-03         1        65
     6.491E-04    9.301E-04         1        81
0NOISE LEVEL 10**( -4)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     8.047E-06    7.897E-05         1       106
     5.484E-06    1.286E-05         1        76
     3.093E-05    6.527E-05         1        72
     3.171E-05    3.376E-05         1       107
     3.505E-05    4.899E-05         1        92
0NOISE LEVEL 10**( -5)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.132E-06    1.867E-06         1        26
    -4.768E-07    6.390E-06         1        28
     2.384E-07    2.158E-06         1        26
     3.934E-06    9.259E-06         1        24
     6.080E-06    8.841E-06         1        32
0NOISE LEVEL 10**( -6)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.788E-07    3.347E-06         1        26
     7.153E-07    4.546E-06         1        26
     7.749E-07    4.487E-06         1        26
     9.537E-07    2.755E-06         1        26
     7.153E-07    3.412E-06         1        26
0NOISE LEVEL 10**( -7)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.788E-07    2.852E-06         1        26
     2.980E-07    2.719E-06         1        26
     1.788E-07    2.822E-06         1        26
     2.384E-07    2.786E-06         1        26
     2.384E-07    2.806E-06         1        26
    2    2
0NOISE LEVEL 10**(  1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.339E-01    5.703E+00         1        73
    -1.617E+00    2.857E+00         1        61
     4.269E-01    4.854E+00         1        97
    -2.980E-01    4.133E+00         1        65
    -1.115E+00    4.354E+00         1        63
0NOISE LEVEL 10**(  0)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.180E-02    3.720E-01         1        75
    -7.922E-03    6.462E-01         1        57
    -7.629E-03    7.542E-01         1        73
     5.349E-02    3.664E-01         1        81
     2.517E-02    6.434E-01         1        97
0NOISE LEVEL 10**( -1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     8.984E-03    4.511E-02         1        89
     1.086E-02    5.266E-02         1        77
     3.965E-03    6.953E-02         1        57
     4.489E-03    5.140E-02         1       119
     5.288E-03    6.616E-02         1        87
0NOISE LEVEL 10**( -2)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     2.548E-03    5.622E-03         1       103
     2.853E-03    3.746E-03         1        73
     1.966E-03    4.527E-03         1        63
     3.125E-04    6.465E-03         1        85
     9.515E-04    5.027E-03         1        63
0NOISE LEVEL 10**( -3)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     2.081E-04    5.185E-04         1        77
     1.027E-03    8.033E-04         1        69
     3.303E-04    3.974E-04         1        79
     1.537E-04    4.978E-04         1        97
     8.583E-04    1.010E-03         1        99
0NOISE LEVEL 10**( -4)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.138E-05    2.973E-05         1        68
     1.538E-05    1.213E-05         1        48
     1.490E-05    3.721E-05         1        62
     1.043E-05    4.691E-05         1        80
     5.901E-06    9.361E-06         1        58
0NOISE LEVEL 10**( -5)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -3.576E-07    2.153E-06         1        48
    -5.960E-07    5.461E-06         1        28
     1.192E-06    4.029E-06         1        28
     3.219E-06    2.040E-06         1        26
    -1.788E-06    6.456E-06         1        38
0NOISE LEVEL 10**( -6)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     4.172E-07    2.493E-06         1        26
     5.960E-07    4.982E-06         1        26
     8.345E-07    2.740E-06         1        26
     3.576E-07    2.713E-06         1        26
     5.960E-07    2.524E-06         1        26
0NOISE LEVEL 10**( -7)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     2.384E-07    2.783E-06         1        26
     2.980E-07    2.716E-06         1        26
     2.980E-07    2.706E-06         1        26
     2.384E-07    2.742E-06         1        26
     2.384E-07    2.807E-06         1        26
0   3 9.74464297E-01   6.516E-07         1        57
    3    1
0NOISE LEVEL 10**(  1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     1.125E+00    6.957E+00         1        63
     5.545E-02    6.448E+00         1        71
     1.012E+00    9.930E+00         1        65
    -1.157E-01    5.596E+00         1        71
    -1.246E+00    9.259E+00         1        71
0NOISE LEVEL 10**(  0)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.113E-01    4.520E-01         1        55
     4.867E-03    6.864E-01         1        55
    -1.347E-02    8.056E-01         1        97
    -7.796E-02    1.277E+00         1        81
    -1.484E-01    1.080E+00         1        65
0NOISE LEVEL 10**( -1)
    "TRUE" ERR     EST ERR      KWARN     JCALL
    -1.410E-03    6.385E-02         1        57
    -8.720E-04    1.134E-01         1        89
     1.610E-03    7.742E-02         1        57
     8.352E-03    4.304E-02         1        79
    -1.982E-02    8.910E-02         1        65
0NOISE LEVEL 10**( -2)
    "TRUE" ERR     EST ERR      KWARN     JCALL
     2.453E-03    5.372E-03         1        85
     7.868E-06    8.480E-03         1       167
    -1.042E-03    8.418E-03         1       179
    -8.032E-04    5.554E-03         1        85
